t,ip,ne,te,ti,we,wi,nbi,ech,pOhm,pLoss,pRad,tauE,pressure,beta,energyError,particleError
2.54,1.2,5.813494957614584,0.8692954273514154,0.8432993080243906,0.28067609440663294,0.2722825276019976,4,1,0.23417809396233447,4.275982571362291,0.03891742338101631,0.12931732362802,15951.528291905423,1.0022640819075965,-1.1745156098252584e-15,3.4349854315548147e-15
2.56,1.2,5.827262055380857,0.8678316849871623,0.8418004374848668,0.2808670422629523,0.27244222945781393,4,1,0.2347708141284331,4.276670491830916,0.03906903015388482,0.12937851367732683,15961.643694000726,1.0028996513658106,-1.0314841302110014e-15,3.4052485781975374e-15
2.58,1.2,5.840858029204503,0.8663920694646153,0.8403263015090696,0.2810553443466834,0.27259967670312607,4,1,0.23535620741610994,4.277348784431408,0.03921898192971695,0.12943882974074727,15971.617731812279,1.0035263386441187,-1.0192499264246388e-15,3.4885562453679708e-15
2.6,1.2,5.854285006142663,0.8649760998532807,0.8388764068132897,0.28124104217305185,0.27275490611425335,4,1,0.2359343625575523,4.278017614199221,0.03936729350272524,0.12949828594639964,15981.452663863145,1.0041442856497098,-7.554757122103811e-16,3.5704460634326274e-15
2.62,1.2,5.867545086813339,0.8635833069230472,0.8374502720614274,0.2814241763520617,0.2729079535944506,4,1,0.23650536740871014,4.278677140589516,0.03951397962419292,0.12955689614620852,15991.150697377085,1.004753631066543,-9.956273595506122e-16,3.09777908656083e-15
2.64,1.2,5.880640345724012,0.8622132328451994,0.8360474275695156,0.28160478663169497,0.273058854220764,4,1,0.2370693089301827,4.279327517987369,0.03965905500051437,0.12961467392272083,16000.71399087647,1.0053545105185788,-1.107247233675684e-15,2.084475758504843e-15
2.66,1.2,5.893572831596196,0.8608654308942039,0.8346674150091823,0.28178291193652205,0.2732076422856399,4,1,0.23762627317277168,4.2799688961463564,0.03980253429114203,0.12967163259571118,16010.144656496394,1.0059470567151791,-1.3379701361583713e-15,9.79190068410506e-16
2.68,1.2,5.906344567685959,0.8595394651518319,0.8333097871119558,0.28195859040237714,0.27335435133404623,4,1,0.23817634526697345,4.280601420566506,0.039944432106471764,0.12972778522858405,16019.444762055866,1.0065313995812442,-1.32297971768482e-15,0
2.7,1.2,5.918957552100456,0.8582349102148762,0.8319741073759408,0.28213185940766117,0.2734990141967482,4,1,0.23871960941578277,4.281225232820909,0.04008476300569436,0.12978314463457996,16028.616332920707,1.0071076663742613,-1.3083196504578618e-15,-9.63204954328628e-16
2.72,1.2,5.931413758110527,0.8569513509074287,0.8306599497760773,0.28230275560173906,0.2736416630202852,4,1,0.23925614889028896,4.281840470838836,0.040223541494635175,0.12983772338279376,16037.661353687541,1.0076759817901144,-9.41075749666972e-16,-2.016969337825343e-15
